,company,ESG_Rank,topic_num_0,topic_num_1,topic_num_2,topic_num_3,topic_num_4,topic_num_5,topic_num_6,topic_num_7,topic_num_8,topic_num_9,topic_num_10,topic_num_11,topic_num_12,topic_num_13,topic_num_14,topic_num_15,topic_num_16,topic_num_17,topic_num_18,topic_num_19,topic_num_20,topic_num_21,topic_num_22,topic_num_23,topic_num_24,topic_num_25,topic_num_26,topic_num_27,topic_num_28,topic_num_29,topic_num_30,topic_num_31,topic_num_32,topic_num_33,topic_num_34,topic_num_35,topic_num_36,topic_num_37,topic_num_38,topic_num_39,topic_num_40,topic_num_41,topic_num_42,topic_num_43,topic_num_44,topic_num_45,topic_num_46,topic_num_47,topic_num_48,topic_num_49,topic_num_50,topic_num_51,topic_num_52,topic_num_53,topic_num_54,topic_num_55,topic_num_56,topic_num_57,topic_num_58,topic_num_59,ESG_Rating_band,E_Rank,E_Rating_band,S_Rank,S_Rating_band,G_Rank,G_Rating_band
0,"""Каустик"" (г. Волгоград)",60,0.0,0.0,0.03463755256929106,0.0,0.0,0.0,0.01897176887897174,0.015490384423831459,0.01897176887897174,0.010953355869277696,0.015490384423831459,0.01897176887897174,0.01897176887897174,0.0289798556516985,0.015490384423831459,0.030980768847662925,0.026830132850849644,0.0,0.0289798556516985,0.030980768847662925,0.026830132850849644,0.01897176887897174,0.030980768847662925,0.04242216486679578,0.015490384423831459,0.030980768847662925,0.010953355869277696,0.024492448305451227,0.015490384423831459,0.024492448305451227,0.010953355869277696,0.01897176887897174,0.021906711738555393,0.03632817161363123,0.021906711738555393,0.03632817161363123,0.0,0.01897176887897174,0.01897176887897174,0.0,0.015490384423831459,0.024492448305451227,0.01897176887897174,0.015490384423831459,0.01897176887897174,0.021906711738555393,0.015490384423831459,0.021906711738555393,0.015490384423831459,0.01897176887897174,0.03286006760783309,0.03463755256929106,0.026830132850849644,0.0,0.015490384423831459,0.0289798556516985,0.010953355869277696,0.026830132850849644,0.010953355869277696,0.0289798556516985,B,72,CC,52,BB,55,BBB
1,"""Нефтиса"", нефтяная компания",144-145,0.0,0.0,0.03099378636868718,0.0,0.0,0.0,0.03099378636868718,0.03099378636868718,0.021915916515945887,0.0,0.0,0.021915916515945887,0.03099378636868718,0.04900547911886536,0.03099378636868718,0.0,0.0,0.0,0.03099378636868718,0.0,0.0,0.03795948090005617,0.03099378636868718,0.043831833031891775,0.0,0.043831833031891775,0.04900547911886536,0.03099378636868718,0.0,0.03795948090005617,0.021915916515945887,0.03099378636868718,0.06198757273737437,0.0,0.03099378636868718,0.04900547911886536,0.0,0.03795948090005617,0.03099378636868718,0.0,0.03099378636868718,0.021915916515945887,0.03099378636868718,0.0,0.03795948090005617,0.03795948090005617,0.03795948090005617,0.021915916515945887,0.021915916515945887,0.021915916515945887,0.05798406485524595,0.03099378636868718,0.043831833031891775,0.0,0.021915916515945887,0.03099378636868718,0.0,0.03099378636868718,0.0,0.03099378636868718,C,119,C,137,C,139,CC
2,"""Соликамскбумпром""",86,0.0,0.0,0.028594780785029777,0.0,0.020219563399637347,0.0,0.03502131111503198,0.028594780785029777,0.020219563399637347,0.0,0.0,0.028594780785029777,0.020219563399637347,0.040439126799274694,0.020219563399637347,0.020219563399637347,0.0,0.020219563399637347,0.040439126799274694,0.03502131111503198,0.0,0.020219563399637347,0.028594780785029777,0.057189561570059555,0.0,0.049527613150965856,0.0,0.028594780785029777,0.020219563399637347,0.04521231823695585,0.020219563399637347,0.020219563399637347,0.0,0.0,0.0,0.049527613150965856,0.0,0.028594780785029777,0.028594780785029777,0.0,0.020219563399637347,0.020219563399637347,0.03502131111503198,0.0,0.028594780785029777,0.03502131111503198,0.020219563399637347,0.020219563399637347,0.020219563399637347,0.028594780785029777,0.04521231823695585,0.05349593637374412,0.040439126799274694,0.0,0.0,0.040439126799274694,0.0,0.04521231823695585,0.0,0.028594780785029777,CCC,88,CC,98,CC,75,BB
3,"""Титан"", группа компаний (деревообработка)",140,0.0,0.0,0.0,0.0,0.0,0.0,0.020024043286581833,0.02831827358942995,0.02831827358942995,0.020024043286581833,0.020024043286581833,0.02831827358942995,0.02831827358942995,0.040048086573163666,0.02831827358942995,0.020024043286581833,0.02831827358942995,0.0,0.03468266034531822,0.02831827358942995,0.0,0.020024043286581833,0.020024043286581833,0.04477512197319528,0.020024043286581833,0.06332158475140236,0.0,0.03468266034531822,0.0,0.04904868863952856,0.020024043286581833,0.020024043286581833,0.02831827358942995,0.0,0.03468266034531822,0.04904868863952856,0.0,0.03468266034531822,0.02831827358942995,0.0,0.02831827358942995,0.020024043286581833,0.02831827358942995,0.0,0.020024043286581833,0.02831827358942995,0.020024043286581833,0.02831827358942995,0.020024043286581833,0.02831827358942995,0.040048086573163666,0.04477512197319528,0.04477512197319528,0.0,0.0,0.03468266034531822,0.0,0.04477512197319528,0.02831827358942995,0.0,C,123,C,139,C,133,CC
4,En+ Group,26,0.0,0.0,0.0,0.0,0.0185439735388071,0.0,0.03211910434342674,0.0262251388788688,0.0262251388788688,0.0,0.03211910434342674,0.0262251388788688,0.0185439735388071,0.04146558540573001,0.0262251388788688,0.0,0.0,0.0,0.0262251388788688,0.0185439735388071,0.03211910434342674,0.0185439735388071,0.03211910434342674,0.0370879470776142,0.0185439735388071,0.04542327297375068,0.0,0.0370879470776142,0.0185439735388071,0.04542327297375068,0.0185439735388071,0.0262251388788688,0.03211910434342674,0.0,0.0262251388788688,0.05864119325252326,0.0,0.03211910434342674,0.0262251388788688,0.0185439735388071,0.0262251388788688,0.0262251388788688,0.0262251388788688,0.0,0.0185439735388071,0.0262251388788688,0.03211910434342674,0.0185439735388071,0.0185439735388071,0.0262251388788688,0.04542327297375068,0.0262251388788688,0.0262251388788688,0.0,0.0185439735388071,0.0185439735388071,0.0,0.04146558540573001,0.0,0.0370879470776142,BBB,26,BB,35,BBB,20,A
5,Global Ports,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031204323970714827,0.05404747453311749,0.0,0.0,0.031204323970714827,0.031204323970714827,0.031204323970714827,0.044129578164068775,0.0,0.0,0.0,0.062408647941429654,0.044129578164068775,0.05404747453311749,0.0,0.05404747453311749,0.0,0.0,0.05404747453311749,0.0,0.044129578164068775,0.044129578164068775,0.044129578164068775,0.031204323970714827,0.031204323970714827,0.0,0.0,0.0,0.062408647941429654,0.0,0.044129578164068775,0.031204323970714827,0.0,0.031204323970714827,0.044129578164068775,0.044129578164068775,0.0,0.031204323970714827,0.044129578164068775,0.05404747453311749,0.031204323970714827,0.0,0.0,0.031204323970714827,0.044129578164068775,0.044129578164068775,0.0,0.0,0.031204323970714827,0.0,0.05404747453311749,0.0,0.031204323970714827,CCC,92,C,69,B,74,BB
6,Globaltrans,63,0.0,0.0,0.026919095102908276,0.0,0.0,0.0,0.0,0.03806934938134405,0.03806934938134405,0.0,0.026919095102908276,0.026919095102908276,0.026919095102908276,0.026919095102908276,0.026919095102908276,0.0,0.0,0.03806934938134405,0.05383819020581655,0.0,0.0,0.0,0.03806934938134405,0.026919095102908276,0.026919095102908276,0.026919095102908276,0.0,0.0,0.0,0.03806934938134405,0.026919095102908276,0.03806934938134405,0.03806934938134405,0.0,0.0,0.07122123116119197,0.0,0.03806934938134405,0.0,0.0,0.026919095102908276,0.0,0.03806934938134405,0.0,0.026919095102908276,0.0466252404120157,0.026919095102908276,0.026919095102908276,0.0,0.03806934938134405,0.03806934938134405,0.026919095102908276,0.026919095102908276,0.0,0.0466252404120157,0.026919095102908276,0.0,0.03806934938134405,0.0,0.0,B,65,CC,74,CCC,51,BBB
7,Highland Gold Mining,118,0.0,0.0,0.0,0.0,0.0,0.0,0.02680281337094487,0.03790490217894517,0.03790490217894517,0.0,0.02680281337094487,0.02680281337094487,0.02680281337094487,0.05360562674188974,0.02680281337094487,0.0,0.0,0.0,0.02680281337094487,0.0,0.02680281337094487,0.0,0.0,0.0,0.02680281337094487,0.05360562674188974,0.0,0.02680281337094487,0.03790490217894517,0.03790490217894517,0.02680281337094487,0.03790490217894517,0.0,0.0,0.0,0.06565321642986129,0.0,0.03790490217894517,0.04642383454426297,0.0,0.03790490217894517,0.0,0.03790490217894517,0.0,0.02680281337094487,0.03790490217894517,0.02680281337094487,0.02680281337094487,0.0,0.03790490217894517,0.05360562674188974,0.03790490217894517,0.03790490217894517,0.0,0.03790490217894517,0.02680281337094487,0.0,0.03790490217894517,0.0,0.0,CC,118,C,113,CC,117,CCC
8,Nordgold,101,0.0,0.0,0.02784590021344862,0.0,0.02273608231713543,0.0,0.02273608231713543,0.02273608231713543,0.02273608231713543,0.0,0.03215367596812403,0.02273608231713543,0.02273608231713543,0.04253531517410508,0.02273608231713543,0.016076837984062016,0.0,0.0,0.03215367596812403,0.03215367596812403,0.02273608231713543,0.02273608231713543,0.03215367596812403,0.048230513952186034,0.0,0.045472164634270854,0.0,0.03215367596812403,0.02784590021344862,0.048230513952186034,0.016076837984062016,0.02273608231713543,0.02784590021344862,0.0,0.016076837984062016,0.045472164634270854,0.0,0.02784590021344862,0.02273608231713543,0.0,0.02273608231713543,0.02784590021344862,0.03215367596812403,0.0,0.02273608231713543,0.02784590021344862,0.02273608231713543,0.016076837984062016,0.02273608231713543,0.02784590021344862,0.0393800497383469,0.048230513952186034,0.03215367596812403,0.0,0.016076837984062016,0.02784590021344862,0.02273608231713543,0.0393800497383469,0.016076837984062016,0.02273608231713543,CC,98,C,83,CCC,111,CCC
9,Positive Technologies,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036860489038724284,0.026064301757134346,0.0,0.026064301757134346,0.026064301757134346,0.036860489038724284,0.026064301757134346,0.036860489038724284,0.0,0.0,0.026064301757134346,0.0,0.0,0.0,0.0,0.026064301757134346,0.0,0.026064301757134346,0.04514469490716346,0.0,0.0,0.026064301757134346,0.04514469490716346,0.026064301757134346,0.036860489038724284,0.0,0.0,0.026064301757134346,0.06895966054592131,0.0,0.036860489038724284,0.0,0.0,0.036860489038724284,0.026064301757134346,0.026064301757134346,0.0,0.036860489038724284,0.036860489038724284,0.026064301757134346,0.026064301757134346,0.036860489038724284,0.026064301757134346,0.04514469490716346,0.026064301757134346,0.036860489038724284,0.0,0.026064301757134346,0.0,0.0,0.026064301757134346,0.0,0.0,CCC,148,C,78,CCC,61,BB
