,topic_name,topic_num,topics_words
0,Безопасность продукта,0,"['раичихинскии', 'улмихалковскии', 'юлмалоохтинскии', 'захарьинскии', 'тимирязевскиига', 'якшурбодьинскии', 'улкомсомольскии', 'пякяхинскии', 'волчихинскии', 'екатерининскии', 'алмаатинскии', 'картебунинскии', 'сакрушинскии', 'вынгаяхинскии', 'калининскии', 'шелепихинскии', 'раичихинск', 'верхнеуральск', 'ангароилимскии', 'алтаесаянск', 'нежданинскии', 'алтуховкоманда', 'петелинскии', 'ульяновскнефть', 'уллуначарскии', 'ульяновскг', 'еманжелинск', 'тольяттинскии', 'заикинскии', 'улбурмакинскии', 'раичихнск', 'нижнемазинскии', 'устьудинскии', 'еаланшаков', 'халтуринскии', 'верхнеимбатск', 'гмосквадругии', 'качалинскии', 'ухтинскии', 'носовихинскии', 'ивакинскии', 'тортасинскии', 'сахасахалинскии', 'лаврушинскии', 'наталскиинскии', 'канскоачинскии', 'марушинскии', 'алтаесаянскии', 'лахтинскии', 'большеохтинскии']"
1,Безопасность продукта,1,"['банкекредитныи', 'кредитабанк', 'сахакредитбанк', 'банкомзаказать', 'банкечитатьчтыи', 'банкоматеть', 'банкепродолжать', 'юникредитбанк', 'аккредитивубанк', 'взысканиембанк', 'кредитбанк', 'банккредитныи', 'банкезадать', 'банкомдат', 'банкомзадать', 'банкоматед', 'банккакии', 'банкомвопрос', 'банкеюникредить', 'банкеличныи', 'банкукредитныи', 'банкебанк', 'банкекакии', 'банкомможныи', 'банковпополнять', 'банкеосновныи', 'банккак', 'втбновостибанк', 'банкоматкак', 'банкечитать', 'онлаинбанкекак', 'банккредит', 'втбонлаинбанк', 'банкакредитныи', 'банкеполучить', 'банкомобратныи', 'банкевыявление', 'банкереквизит', 'банкерасчтныи', 'банкакредит', 'банкоматыдлить', 'банковбез', 'банковрезидент', 'банкоматыважныи', 'банковдо', 'банковбанк', 'банковвыдача', 'банкуполучить', 'банкподробныи', 'банкбанк']"
2,Безопасность продукта,2,"['пон', 'гыд', 'ыд', 'тмм', 'ич', 'ек', 'жижа', 'атво', 'тпу', 'вата', 'поз', 'прикамье', 'сгрэс', 'тврдо', 'ильнур', 'цатод', 'крэ', 'щз', 'усотир', 'тз', 'азир', 'зма', 'наиль', 'окб', 'втбво', 'тн', 'ятэк', 'унрс', 'пмз', 'вап', 'тэ', 'снр', 'тсс', 'тш', 'врс', 'гро', 'хеис', 'тбс', 'слаис', 'нг', 'чмз', 'жа', 'кром', 'свф', 'сз', 'тц', 'мег', 'дамба', 'уомза', 'ечв']"
3,Биоразнообразие ,3,"['москвемосква', 'регионахсибирьо', 'улбурмакинскии', 'московскомуть', 'москваминск', 'москвереквизит', 'бурмакинскии', 'картебунинскии', 'москвабиржевои', 'якшурбодьинскии', 'новоширокинскии', 'москватмкямза', 'регионапир', 'метровбунинскии', 'областьмосква', 'дзержинскии', 'москворечье', 'московскоес', 'халтуринскии', 'москведомашнии', 'верхнеуральск', 'лаврушинскии', 'москвыльготныи', 'московскоибиржа', 'вынгаяхинскии', 'раичихинскии', 'москвывоити', 'гновоуральск', 'московск', 'улдегунинскии', 'москворецкии', 'нижневартовск', 'пякяхинскии', 'регионахдальнии', 'москвичка', 'сакрушинскии', 'бунинскии', 'волчихинскии', 'гкировск', 'марушинскии', 'регионаоказание', 'раичихинск', 'регионовсибирь', 'московскои', 'южносахалинск', 'москваприм', 'сахалинск', 'омутнинск', 'москвавыпуск', 'перервинскии']"
4,Биоразнообразие ,4,"['развитииновость', 'развитияпочесть', 'развитиеновость', 'развитиюкаким', 'развитиемкак', 'развитиявыход', 'подходосновныи', 'развитиивыберит', 'развитиедля', 'целеустремлнныи', 'развитиия', 'развитиемиссия', 'развитиеведение', 'развитияведение', 'развитиеоценка', 'целямразвитие', 'развитиизабота', 'развитиемвот', 'развитии', 'прибылиразвитие', 'развитиедоступ', 'разрабатывание', 'прогрессивность', 'целямрасширение', 'развитиякак', 'развитиюкомитет', 'развитиясобрать', 'развитиядоля', 'развитиячитать', 'прогрессдеректр', 'усвояемость', 'развитиючитать', 'развитию', 'развитиепринцип', 'развитиюбудущии', 'вовлечнность', 'развитияцель', 'развитияподход', 'развитияотчт', 'развитиеподход', 'развитиюцель', 'императивныи', 'развитиевидение', 'развитиецель', 'ростастабильныи', 'развитиякака', 'развитияохрана', 'дляреализация', 'развитиевместо', 'развитиеохрана']"
5,Биоразнообразие ,5,"['суммывнесение', 'суммыполучение', 'суммупополнять', 'взносамуплата', 'рубляхвыплата', 'счетазарплатныи', 'суммоикредить', 'суммыть', 'суммыпереть', 'вкладоввыплата', 'депозитусумма', 'суммуести', 'суммывременнои', 'валютерасчетныи', 'суммыпокрывать', 'суммыбанк', 'суммукакии', 'суммыподключить', 'взносаипотечныи', 'суммыить', 'рублеикредитныи', 'суммоиипотека', 'суммуможныи', 'счетевыплата', 'суммыот', 'офертывыплата', 'взносыкомиссия', 'суммеслимн', 'депозитавысокии', 'депозитаснятие', 'тарифовподбрать', 'депозитавыплата', 'счетазачислять', 'рубляхвтбвклад', 'выплатысумма', 'депозитарияучт', 'выплатанапример', 'депозитынуть', 'выплатыполучить', 'счетамдоход', 'рублеиоплатить', 'счетавыплата', 'остаткавыплата', 'платежаполучить', 'суммыкакать', 'выплатыпорядка', 'выплатсоздавать', 'депозитыдлить', 'тарифупроцент', 'выплатыести']"
6,Отходы,6,"['строикомбинат', 'строиплощадка', 'строиурал', 'строительство', 'стро', 'нестроительныи', 'строительбыть', 'строитель', 'строитара', 'строитех', 'строика', 'строипромсервис', 'строибаза', 'строительныига', 'строиотряд', 'топстроительныи', 'строитедьство', 'строенииместо', 'строирезерв', 'строительныи', 'строиинжиниринг', 'строительства', 'строительнои', 'строителеваюг', 'строикорпорация', 'строиресурс', 'построено', 'строииндустрия', 'строитэк', 'строиться', 'строителныи', 'заостроительныи', 'первостроитель', 'строи', 'строисиб', 'сооруженить', 'строиоптторг', 'здание', 'строиэксперт', 'бургасструктура', 'строиобъект', 'строиград', 'сооружению', 'строисервис', 'топработодатель', 'строидеталь', 'автостроитель', 'затруднять', 'строитрубосталь', 'строихолдинг']"
7,Энергия,7,"['годомобеспечить', 'летежегодныи', 'годомпочта', 'ежегоднаяинфция', 'ежегодно', 'год', 'годовыхупрощнно', 'годовыхвалюта', 'годовыхдыи', 'ежегодныи', 'ежегодноболее', 'годаудиторскии', 'годуежегодно', 'годести', 'годособыи', 'годовыхнужныи', 'годовыхкредить', 'ежегоднои', 'годичныи', 'годовыхполучать', 'годовыхота', 'годуть', 'годовыхставка', 'годовыхд', 'годовыхс', 'годовыхбыть', 'годстартовыи', 'годучитать', 'годовыхчтыи', 'годутренд', 'годовыхзанять', 'годовыхпо', 'годовыхчастныи', 'фссежегодныи', 'годаакционерныи', 'годовыхцель', 'годовых', 'годкакии', 'годовыхсумма', 'году', 'годовыхкак', 'годовыхна', 'годовыхакция', 'годминимальныи', 'годумлн', 'годооо', 'годовыхпроцент', 'годуо', 'годов', 'годбюлетень']"
8,Безопасность продукта,8,"['безопасностьва', 'безопасность', 'безопасноешаг', 'безопасностьня', 'безопасностить', 'ибезопасность', 'безопасностьвсе', 'безопасности', 'безопасностишаг', 'безопасностьпао', 'безопасностью', 'безопасностин', 'экобезопасность', 'безопасностиэта', 'рискудоходность', 'безопасностис', 'безопасноидлить', 'безопаснои', 'рискамидеиствие', 'услугбезопасно', 'безопасно', 'езопасность', 'безопасностикак', 'безопаснотить', 'рискдоходность', 'рискованность', 'опасность', 'безопаснывход', 'безопасныи', 'рискисокращать', 'безопасностикто', 'безопасноо', 'рискахоткрыть', 'безопастность', 'опасности', 'рисксобытие', 'рисковполучить', 'рисковвалютныи', 'рискиуход', 'безопаснолюбыи', 'небезопасно', 'рискампереити', 'рискимониторинг', 'рискпрофиль', 'рискамиотвечать', 'охрануокружать', 'рискаести', 'рискфактор', 'рисковчеткии', 'опасностеи']"
9,Безопасность продукта,9,"['мчкпплощадка', 'прсююмбик', 'подлокотник', 'гофрокоробка', 'ытыккюель', 'пвхтруба', 'топлякоподъмник', 'подпипник', 'стручковыи', 'лобненскии', 'пнгплощадка', 'сваезабивочныи', 'окатка', 'бугульминскии', 'сбпотраслевои', 'сколковоресепшн', 'подкарантинныи', 'тарноштучныи', 'рикотник', 'свртка', 'валкомпм', 'габричевскии', 'кранштабелера', 'сбытаначальник', 'сберегательныи', 'оноткитоискии', 'каучукамиров', 'пилокоротье', 'вареягскии', 'плкомсомольскии', 'верхненепскии', 'пчокурд', 'мавлеткулов', 'рубкешбэкдыи', 'опалубочныи', 'ткарудник', 'пермскиикр', 'пгплощадка', 'щткодержатель', 'костромич', 'бугровскии', 'кобрендовыи', 'родоначальник', 'ленскплощадка', 'краикурганскии', 'пестречинскии', 'сколковскии', 'пбсгрк', 'ларбаурким', 'пгкоробков']"
